Model,MRR@10,Hit Rate@10,Recall@10,Precision@10,nDCG@10
BM25,0.7894217858341731,0.877643504531722,0.877643504531722,0.08776435045317045,0.8110763036684521
LipidBot,0.725387534167746,0.9086102719033232,0.9086102719033232,0.09086102719033039,0.6759708359750972
pubmedbert_base,0.5023129166067234,0.6744712990936556,0.6744712990936556,0.06744712990936495,0.543576039602469
