Model,MRR@10,Hit Rate@10,Recall@10,Precision@10,nDCG@10
bm25_predictions,0.8091884920634921,0.88375,0.88375,0.08837500000000033,0.8274618430146691
pubmedbert_base_predictions,0.5107217261904757,0.6775,0.6775,0.06775000000000063,0.5505755286326547
lipidbot_predictions,0.7330014880952384,0.91875,0.91875,0.09187500000000012,0.7777421299707724
